Message,Category,Urgency
"There's a growing number of potholes on Broadway near the mall, which are deep enough to cause damage to vehicles. This issue has been reported several times but no action has been taken yet.","Highways, traffic and parking",4
The new traffic light timings on Orchard Road are causing significant morning traffic jams that haven't been seen before. A review of the traffic light sequences might help.,"Highways, traffic and parking",3
"Several street lamps along Willow Road are out, making the street very dark and unsafe at night. This is particularly concerning for those who come home late from work.",Community safety,4
"The fence surrounding the local dog park has been damaged, potentially allowing dogs to escape onto busy roads nearby. Immediate repairs are necessary to ensure pet safety.","Environment, planning, parks, cemeteries and waste",4
Air quality around the industrial area has deteriorated markedly over the past few months. Residents are concerned about potential health effects and would appreciate an environmental inspection.,"Environment, planning, parks, cemeteries and waste",4
The summer reading program advertised by the local library has been repeatedly cancelled without notice. We need reliable scheduling or better communication from the library management.,"Sports, leisure and libraries",2
"A large swarm of bees has made a nest right in the public square, making it dangerous for allergic individuals. Can a beekeeper be arranged to safely relocate them?",Community safety,4
The basketball court near the community center has broken hoops and cracked pavement. It's become dangerous for the kids to play on. When can we expect maintenance?,"Sports, leisure and libraries",3
"Water pressure in the Northgate area has been notably low, affecting daily chores and business operations. Can this be looked into as soon as possible?",Housing,3
"The local bus stops don't have adequate seating or cover, making it difficult during bad weather. Better facilities at these stops would be appreciated.","Sports, leisure and libraries",2
"The annual street fair was poorly organized this year, with little to no accessibility provisions for disabled attendees. Future events must consider inclusivity more thoroughly.","Sports, leisure and libraries",2
Repeated complaints about noisy neighbours in the Springfield apartment complex have not been addressed. The situation is disturbing the peace of many residents.,Housing,4
Street artists and vendors have been obstructing pedestrian traffic in the main square. Can regulations be enforced to ensure walkways remain clear?,Community safety,3
The local war memorial has been vandalized with graffiti. This disrespectful act needs to be cleaned up and prevented in the future.,Community safety,4
Many of the vending machines in city buildings are either faulty or poorly stocked. This is inconvenient for visitors and staff working in these buildings.,"Sports, leisure and libraries",2
"The heating in the municipal building has been inadequate, causing discomfort for both employees and visitors. It's becoming a real issue during the cold season.",Housing,3
The lack of proper signage in Eastwood Park has led to several visitors getting lost. Updating the park maps and signage would greatly enhance the visitor experience.,"Environment, planning, parks, cemeteries and waste",2
"Antisocial behavior in the central plaza is on the rise, particularly in the evenings. Increased patrols or surveillance might be necessary to curb this activity.",Community safety,3
"Children's play area in Tudor Park is in a state of disrepair, with several pieces of equipment now unsafe. This needs urgent attention for the safety of our children.",Children's services,5
"The escalators at the central train station have been out of order for over a month, causing significant inconvenience, especially for elderly commuters and those with disabilities.","Highways, traffic and parking",4
Complaints about stray animals in residential areas are increasing. Perhaps it's time to consider a more proactive approach to animal control.,Community safety,3
Elderly residents have reported difficulty accessing the new digital system introduced for council tax payments. Some assistance or a more user-friendly interface would be helpful.,Council Tax and benefits,3
The recent redesign of the local council website has made it harder to find information on waste disposal schedules. This information needs to be more accessible.,"Communications, customer services or committees",3
"Parking enforcement in downtown areas seems overly aggressive recently, with many residents and visitors receiving fines. Perhaps a review of parking policies is in order.","Highways, traffic and parking",2
"Feedback on the effectiveness of the newly introduced bike lanes has been mostly negative, with cyclists feeling unsafe. A re-evaluation of the layout might be necessary.","Highways, traffic and parking",3
"The volunteer program coordinated by the city council lacks sufficient support and resources, making it difficult for local organizations to benefit from community help.",Children's services,2
Increased littering at the local beach has not been addressed despite multiple complaints. More bins and regular cleanup could solve this issue.,"Environment, planning, parks, cemeteries and waste",3
"The sound system used during city council meetings is often malfunctioning, leading to frustration among attendees who can't hear the proceedings.","Communications, customer services or committees",2
"There has been a noticeable decline in the quality of tap water in the west district, with a strange taste and discoloration reported by residents.",Housing,4
"Recent tax increases have not been clearly explained to the residents, leading to widespread confusion and dissatisfaction.",Council Tax and benefits,3
"There are no sufficient measures in place to handle the snow during the winter months on Main Street, leading to slippery conditions and potential accidents.","Highways, traffic and parking",4
Pet owners in the city have expressed the need for more off-leash areas as current provisions are inadequate to meet demand.,"Environment, planning, parks, cemeteries and waste",2
"The lack of diversity in city-employed staff has been a topic of discussion in community meetings, suggesting a need for more inclusive hiring practices.",GLLaB (Greenwich Local Labour and Business),3
"The decrease in funding for local arts programs has led to a reduction in cultural activities available to the public, diminishing the community's vibrancy.","Sports, leisure and libraries",1
"Many of our street trees have been severely pruned, leaving them unsightly and potentially at risk for disease. Can the city ensure proper arboricultural practices are followed?","Environment, planning, parks, cemeteries and waste",3
"The swings at Central Park have been broken for months now, with no signs of repairs. This is a beloved area for many families in the community.",Children's services,4
"There is a continual leakage from the water main in front of my property on Grove Street. This issue has been ongoing for weeks, and no repair crews have been sighted.","Highways, traffic and parking",4
"Since the opening of the new supermarket, there has been a significant increase in litter in the surrounding areas. More bins and regular garbage collection are needed.","Environment, planning, parks, cemeteries and waste",3
"The condition of the public tennis courts in Johnson's Field is deplorable, with many cracks and uneven surfaces. These facilities are in urgent need of renovation.","Sports, leisure and libraries",4
"The parking meters on Duke Street are often out of service, causing confusion and potential penalties for drivers.","Highways, traffic and parking",3
"Recently, the bus service to the suburban areas has been reduced significantly, causing inconvenience for daily commuters like myself who rely on public transportation.","Highways, traffic and parking",4
"Our neighborhood has seen an increase in stray dogs. This situation is worrying, particularly for parents of young children.",Community safety,3
"The playground equipment in Maple Park is outdated and, in some cases, dangerous. An upgrade is desperately needed to ensure the safety of our children.",Children's services,5
There has been a noticeable increase in aggressive solicitation near the subway entrance on 5th and Main. Some form of intervention is required to maintain public safety.,Community safety,4
The local museum's reduced hours have limited educational opportunities for students and residents. Can anything be done to return to the previous operating hours?,"Sports, leisure and libraries",2
"I'm concerned about the poor condition of the roads after the winter snow. Many large potholes have developed, making driving hazardous, especially on Main Street.","Highways, traffic and parking",4
The lack of adequate street lighting on Oak Lane has made it a target for thefts and muggings in the evening. Improved lighting is needed to enhance community safety.,Community safety,4
There has been an unpleasant smell emanating from the storm drains in our neighborhood. It seems there may be a blockage or other issue.,"Environment, planning, parks, cemeteries and waste",3
"The newly renovated city hall lacks sufficient wheelchair access. As a wheelchair user, I find this oversight in city planning unacceptable.",Council Tax and benefits,5
"The recent policy change regarding public park usage has not been well communicated. Many residents are unaware of the new regulations, leading to confusion and non-compliance.","Communications, customer services or committees",2
Excessive noise from nighttime roadworks has been disturbing the peace in our neighborhood. It would be appreciated if such activities could be restricted to less disruptive hours.,Community safety,4
"Street flooding has become a common occurrence during heavy rainfalls due to inadequate drainage, particularly on Elm Street. This needs to be addressed to prevent property damage and accidents.","Environment, planning, parks, cemeteries and waste",4
"The public library has significantly reduced the number of books in its physical collection, pushing for digital access that many older residents find difficult to use.","Sports, leisure and libraries",3
"There are frequent power outages in our area, which disrupt daily life and pose risks for residents dependent on electronic medical devices.",Housing,5
"Vandalism in public restrooms at city parks has increased, with facilities often left in a state of disrepair. Regular maintenance and surveillance could help mitigate this issue.","Environment, planning, parks, cemeteries and waste",4
"The condition of the footpaths around Lakeview is deteriorating, making it difficult for pedestrians, especially those with strollers or wheelchairs, to navigate safely.","Highways, traffic and parking",3
A lack of clear signage in the downtown parking lots has led to multiple instances of wrongful towing. Better signage would help avoid these misunderstandings.,"Highways, traffic and parking",3
Residents have not been properly informed about the toxic waste cleanup happening at the old factory site. Transparency regarding health risks and safety measures is crucial.,"Environment, planning, parks, cemeteries and waste",4
"The increase in fees for recreational facilities has prevented many families from using the swimming pool and gym, which were previously affordable community resources.","Sports, leisure and libraries",3
Delays in snow removal on major roads have led to several accidents and general commuter frustration during the winter months.,"Highways, traffic and parking",4
"The new zoning regulations are overly restrictive, preventing homeowners from making necessary improvements to their properties. A review of these regulations is requested.","Environment, planning, parks, cemeteries and waste",2
"The overgrown vegetation on public walking trails is not only unsightly but also obstructs visibility and movement, creating potential hazards.","Environment, planning, parks, cemeteries and waste",3
"An increase in the rat population has been noted in the public housing area on 5th Avenue, possibly due to inadequate garbage management.",Housing,4
Complaints about the inefficiency of the heating system in the community hall have been ignored. The current system is inadequate and needs an upgrade.,Housing,4
Unmaintained vacant lots in the city are becoming dumping grounds for garbage and are contributing to the degradation of our neighborhood's aesthetic.,"Environment, planning, parks, cemeteries and waste",3
The decision to cut down mature trees for the new road expansion has not been well received by the community. We request a reassessment to consider alternative solutions.,"Environment, planning, parks, cemeteries and waste",4
"Disruption caused by the annual festival was poorly managed this year, leading to traffic chaos and restricted access to homes and businesses.",Community safety,3
"Public consultations on the new water rates were not adequately advertised, leading to low turnout and insufficient community input.",Council Tax and benefits,2
"Recently installed CCTV cameras in the park do not seem to be operational. We need these for our safety, especially in the evenings.",Community safety,3
"The condition of the bus fleet servicing the city center route is poor, with many buses being dirty and some having broken seats.","Highways, traffic and parking",3
"Construction debris from the new development on Park Avenue has not been cleared for weeks, causing safety risks to pedestrians and motorists.","Highways, traffic and parking",3
"A shortage of bike racks in the downtown area discourages people from using bicycles for their daily commute, contrary to the city's policy promoting green transport.","Environment, planning, parks, cemeteries and waste",2
"Insufficient funding has led to the cancellation of the annual jazz festival, a major highlight for the community and a boost for local businesses.","Sports, leisure and libraries",3
"The recent rise in parking fees has made it prohibitive for residents to visit downtown shops, affecting local businesses negatively.",Business,3
"Stray cats have become a significant problem in our neighborhood, with no effective control measures in place to manage the population.",Community safety,3
Noise from the local train station has increased due to new schedules with more night trains. Residents nearby are suffering from sleep disturbances.,Housing,4
"Long wait times for permit approvals have stalled several home improvement projects in our community, causing frustration among homeowners.",Council Tax and benefits,2
"Community centers are lacking essential first aid equipment, which could be critical during organized events and emergencies.",Community safety,3
"The lack of proper maintenance of historical landmarks in our city is leading to their deterioration, which could mean a loss of our cultural heritage.","Environment, planning, parks, cemeteries and waste",3
"City buses are often overcrowded during peak hours, making commuting uncomfortable and discouraging public transport use.","Highways, traffic and parking",2
Homeless encampments near central business areas are growing without sufficient intervention or support to address the needs of the homeless.,Housing,4
"Traffic signals at multiple intersections are improperly timed, causing unnecessary delays and increasing frustration for drivers.","Highways, traffic and parking",3
Increased litter in public spaces like squares and parks has not been addressed despite repeated requests for more frequent cleaning services.,"Environment, planning, parks, cemeteries and waste",3
Poorly maintained public washrooms in city parks pose health risks and deter visitors from spending time in these communal spaces.,"Environment, planning, parks, cemeteries and waste",4
"Recent cuts to public school funding have resulted in larger class sizes and fewer resources, compromising the quality of education.",Children's services,4
"The installation of new water pipes in our district was completed months ago, but the roads have not been properly resurfaced, leaving dangerous conditions.","Highways, traffic and parking",4
"Residents have reported frequent disruptions in internet service provided by the city, impacting both homes and businesses.","Communications, customer services or committees",3
There is a growing concern over the lack of transparency in how municipal funds are being allocated and spent.,Council Tax and benefits,3
The removal of several bus routes has left many senior citizens without reliable transportation to essential services like grocery stores and clinics.,"Highways, traffic and parking",4
"City-planned tree planting initiatives have not been followed through, leaving many neighborhoods without the planned greenery.","Environment, planning, parks, cemeteries and waste",2
Old and inefficient lighting in public areas is leading to higher electricity costs and increased carbon footprint.,"Environment, planning, parks, cemeteries and waste",2
"Reports of aggressive dogs at the local park have been ignored, posing ongoing risks to children and other park users.",Community safety,4
Residents feel that the public consultation sessions for new development projects are just for show and do not actually influence decisions.,"Communications, customer services or committees",2
"Lack of funding has caused the postponement of the annual book fair, a key cultural event for the community.","Sports, leisure and libraries",3
Unregulated parking on residential streets is blocking driveways and creating access issues for emergency vehicles.,"Highways, traffic and parking",4
"The public gym facilities have outdated equipment that is frequently out of service, discouraging residents from leading a healthy lifestyle.","Sports, leisure and libraries",3
Overzealous ticketing for minor parking violations in downtown areas is deterring visitors and affecting local shops.,Business,3
"The community garden initiative has stalled due to lack of support from the local council, disappointing many residents who volunteered.","Environment, planning, parks, cemeteries and waste",2
"A significant number of streetlights in the Hillcrest neighborhood are not working, raising safety concerns among residents.","Highways, traffic and parking",4
"Residents are dissatisfied with the efficiency of the public transport system, particularly the cleanliness and punctuality of the service.","Highways, traffic and parking",3
Concerns about safety at the local train station have been raised due to poor lighting and lack of security personnel during the evening.,"Highways, traffic and parking",4
"Complaints about the conditions at the local animal shelter have been ignored, with reports of overcrowding and inadequate care.",Housing,4
Construction of the new bridge has been delayed multiple times without clear communication to the public about the reasons and expected completion date.,"Highways, traffic and parking",3
"Park benches in several city parks are in disrepair, with peeling paint and splintered wood, making them unusable.","Environment, planning, parks, cemeteries and waste",3
"The local farmers' market has been canceled indefinitely without explanation, leaving vendors and customers disappointed.",Business,3
"Residents of the downtown area complain about the noise from late-night bars and clubs, especially on weekends.",Community safety,4
"Inadequate drainage on city streets leads to standing water even after light rainfall, causing inconvenience and potential health issues.","Highways, traffic and parking",3
"Public feedback on city budget spending has been requested, but there are no accessible platforms for most residents to express their views.",Council Tax and benefits,2
"City workers have been striking for two weeks with no resolution in sight, leading to disruption in services like garbage collection and public transit.","Communications, customer services or committees",4
"Many city-run facilities are not compliant with current accessibility standards, causing difficulties for disabled residents.",Housing,4
The lack of adequate emergency exits in public buildings has been highlighted in recent safety audits but remains unaddressed.,Housing,5
"Residents have complained about the misuse of funds intended for road repairs, with no visible improvements to the roads.","Highways, traffic and parking",3
"Community feedback suggests that the recent public space renovations have prioritized aesthetics over functionality, leading to unusable features.","Environment, planning, parks, cemeteries and waste",2
Newly installed parking meters in residential areas are causing confusion due to a lack of clear instructions on their use.,"Highways, traffic and parking",2
Concerns have been raised about the environmental impact of a proposed new housing development near a local nature reserve.,"Environment, planning, parks, cemeteries and waste",4
"City hall has reduced the hours of operation, making it difficult for working residents to access services they need.",Council Tax and benefits,3
Local residents have expressed frustration over the frequent closures of the main library for private events.,"Sports, leisure and libraries",3
"Insufficient trash receptacles at public bus stops are leading to litter problems, particularly in the downtown area.","Highways, traffic and parking",2
"There are reports of frequent bullying incidents on city buses, with little intervention from drivers or authorities.","Highways, traffic and parking",4
"Local business owners are upset over the increase in business rates with little notice, affecting their financial planning.",Business,3
"The recent installation of traffic calming measures has been met with mixed reviews, with some residents finding them obtrusive.","Highways, traffic and parking",3
Public restrooms in city parks have been closed for renovations for over six months with no signs of progress.,"Environment, planning, parks, cemeteries and waste",3
"High school students have petitioned for a safe crossing near the school, but their requests have not been addressed.","Highways, traffic and parking",4
"Residents are concerned about the transparency of the bidding process for city contracts, suspecting favoritism and lack of openness.",Council Tax and benefits,3
"Recent changes to public health services have been implemented without sufficient public consultation, causing confusion and dissatisfaction among residents.",Housing,4
"Local artists have criticized the city for not providing adequate public spaces for performances and exhibitions, limiting cultural activities.","Sports, leisure and libraries",3
The lack of regular maintenance of hiking trails in the city's nature reserves has led to overgrown paths and lost signage.,"Environment, planning, parks, cemeteries and waste",3
"Residents have reported that the city's recycling program is inefficient and confusing, leading to low participation rates.","Environment, planning, parks, cemeteries and waste",3
Increased crime rates in the downtown area have not been addressed effectively by local law enforcement.,Community safety,4
Local school boards have been criticized for not adequately addressing parental concerns about school curriculum changes.,Children's services,3
"Numerous complaints about potholes on secondary roads have been ignored, leading to vehicle damage and growing resident frustration.","Highways, traffic and parking",4
"City council meetings have been scheduled during work hours, preventing most working residents from attending.","Communications, customer services or committees",2
"There has been a significant decrease in the variety of books available at the local library, particularly in non-English languages.","Sports, leisure and libraries",2
Excessive water wastage from poorly maintained public fountains and landscaping is a concern during the dry season.,"Environment, planning, parks, cemeteries and waste",3
"Residents have voiced concerns about the lack of diversity in local government representation, which does not reflect the community's demographic.",GLLaB (Greenwich Local Labour and Business),3
"Feedback mechanisms for reporting public transport issues are ineffective, with many reports going unanswered.","Highways, traffic and parking",3
Local regulations on pet ownership are outdated and do not address the needs of a growing number of pet owners in the city.,Community safety,2
"Construction noise from new developments is often exceeding permitted levels, affecting the quality of life for nearby residents.","Environment, planning, parks, cemeteries and waste",4
"The city's annual budget report is difficult to understand, lacking detailed explanations of expenditures and revenues.",Council Tax and benefits,2
"Residents near industrial areas have complained about noise and air pollution, but monitoring and enforcement seem inadequate.","Environment, planning, parks, cemeteries and waste",4
"Public parks have seen a decrease in maintenance staff, leading to unkempt lawns and facilities, diminishing their usability and safety.","Environment, planning, parks, cemeteries and waste",3
Concerns about the effectiveness of the city's emergency preparedness plans have been raised after several areas were poorly managed during recent natural disasters.,Housing,5
"Recent redevelopments in the city center have prioritized commercial interests over affordable housing, causing concerns about gentrification.",Housing,4
"Accessibility issues at public transportation hubs have not been adequately addressed, despite repeated requests from disabled citizens.","Highways, traffic and parking",4
The lack of public seating in downtown areas has been criticized by elderly residents and those with mobility issues.,"Environment, planning, parks, cemeteries and waste",2
"Flooding issues in older parts of the city have worsened, with inadequate infrastructure updates to address the problem.","Environment, planning, parks, cemeteries and waste",4
"City-funded youth programs have seen budget cuts, reducing the number of available activities and support for young people.",Children's services,4
"Residents have complained about the difficulty of navigating the city's official website, which has been redesigned without user feedback.","Communications, customer services or committees",2
"Local history museums have had their hours reduced, limiting access to cultural heritage for residents and tourists.","Sports, leisure and libraries",2
Complaints about parking enforcement in residential areas indicate a need for a review of current policies and fines.,"Highways, traffic and parking",3
"The city's initiative to increase green spaces has been slow to materialize, with few new areas being developed.","Environment, planning, parks, cemeteries and waste",2
"Inadequate lighting in community sports fields has discouraged evening activities and sports, affecting community health.","Sports, leisure and libraries",3
Delays in the processing of permits for new businesses have been a barrier to local economic development.,Business,3
Residents have expressed dissatisfaction with the level of consultation regarding new traffic management measures in residential areas.,"Highways, traffic and parking",3
Public dissatisfaction with the management of local festivals has led to lower attendance and reduced community engagement.,"Sports, leisure and libraries",2
"There have been numerous reports of inadequate heating in public school classrooms, affecting student comfort and learning.",Children's services,4
Rising crime rates in commercial districts have not been addressed by an increase in police presence or community safety measures.,Community safety,4
"Several public artworks have been damaged or defaced, with no plans announced for their restoration or protection.","Environment, planning, parks, cemeteries and waste",3
"Residents report that the new public Wi-Fi network is unreliable and slow, making it difficult to use in public spaces.","Communications, customer services or committees",2
"There have been repeated delays in the construction of a new public library, with no clear timeline for completion.","Sports, leisure and libraries",3
"Complaints about the inefficiency of local health clinics have been increasing, with reports of long wait times and poor service.",Housing,4
Residents are concerned about the environmental impact of a proposed landfill site near residential areas.,"Environment, planning, parks, cemeteries and waste",4
Ongoing issues with water quality in certain neighborhoods have prompted calls for more rigorous testing and transparency.,Housing,4
"Complaints about noise from local nightclubs have increased, with calls for better soundproofing and stricter closing hours.",Business,4
"There have been reports of public buses being overcrowded, particularly during peak hours, leading to calls for increased service.","Highways, traffic and parking",3
"The local government has been criticized for its slow response to flooding incidents, which have become more frequent.","Environment, planning, parks, cemeteries and waste",4
"Residents have voiced concerns about the lack of maintenance of roadside landscaping, which has become overgrown and unsightly.","Environment, planning, parks, cemeteries and waste",2
Complaints about the lack of transparency in municipal spending have led to calls for a public review of expenditures.,Council Tax and benefits,3
"Local schools have experienced a shortage of teachers, leading to larger class sizes and concerns about the quality of education.",Children's services,4
Delays in the repair of public fountains in city parks have been a source of frustration for residents and tourists alike.,"Environment, planning, parks, cemeteries and waste",2
"Business owners have complained about the lack of adequate parking in commercial areas, which they say is hurting their businesses.",Business,3
"There has been a notable lack of enforcement of parking regulations in downtown areas, leading to chaotic traffic conditions.","Highways, traffic and parking",3
"Residents have complained about frequent disruptions to electricity supply, which have not been adequately addressed by the city.",Housing,4
"Local residents have expressed frustration with the poor condition of roads in their neighborhood, which have been neglected for years.","Highways, traffic and parking",4
"Community members have voiced concerns about the decrease in patrols by local police, especially in areas with rising crime rates.",Community safety,4
"There has been a lack of action on reported issues of graffiti and vandalism in public spaces, leading to a deterioration of the local environment.",Community safety,3
"Parents have raised safety concerns about the lack of crosswalks near schools, which they say endangers children.","Highways, traffic and parking",5
"Complaints about the noise from construction sites have been ongoing, with residents calling for restrictions on operating hours.","Environment, planning, parks, cemeteries and waste",4
"There have been several reports of leaks in public buildings, which have caused damage and have not been promptly addressed.",Housing,3
"Residents have reported problems with the collection of recycling, which they say is often missed or mixed with general waste.","Environment, planning, parks, cemeteries and waste",3
"Local businesses have criticized the council for the high rates of business taxes, which they claim are stifling small enterprises.",Business,3
"Complaints about the lack of green spaces in urban areas have been growing, with residents asking for more parks and plantings.","Environment, planning, parks, cemeteries and waste",3
"There have been issues with the maintenance of public toilets in city parks, which are often dirty and sometimes non-functional.","Environment, planning, parks, cemeteries and waste",4
"Residents have been unhappy with the handling of noise complaints, particularly regarding late-night events in community centers.",Community safety,3
"Concerns about traffic congestion in residential areas have been raised, with residents requesting better traffic management solutions.","Highways, traffic and parking",3
"Local officials have been slow to address concerns about air quality, despite increasing complaints from residents in industrial areas.","Environment, planning, parks, cemeteries and waste",4
"Complaints about inadequate street lighting in certain neighborhoods have been ignored, leaving areas poorly lit and feeling unsafe.","Environment, planning, parks, cemeteries and waste",4
"Residents have complained about the poor maintenance of playgrounds, which are often unsafe for children to use.",Children's services,4
"Concerns have been raised about the cleanliness of local swimming pools, with residents complaining about water quality.","Sports, leisure and libraries",3
"Complaints about the operation of the local landfill site have been ongoing, with residents concerned about odors and pollution.","Environment, planning, parks, cemeteries and waste",4
"Local residents have expressed frustration with the city's public transportation system, particularly the reliability of bus services.","Highways, traffic and parking",3
"There have been repeated complaints about the condition of sidewalks in the city, which are often cracked and uneven.","Highways, traffic and parking",3
"Residents have reported issues with the city's waste management services, particularly the irregularity of garbage collection.","Environment, planning, parks, cemeteries and waste",3
"Complaints about the lack of facilities for teenagers in public parks have been raised, with calls for more youth-oriented amenities.",Children's services,3
Residents have voiced concerns about the lack of consultation regarding the development of new residential areas.,Housing,3
"Local historical sites have been neglected, leading to deterioration and loss of interest from tourists and residents.","Environment, planning, parks, cemeteries and waste",3
"There have been numerous reports of vandalism at local playgrounds, with equipment often damaged or destroyed.",Children's services,4
"Residents have complained about the lack of adequate parking at local shopping centers, which often leads to congestion.",Business,3
"Concerns have been raised about the effectiveness of the city's recycling program, with many items not being properly sorted.","Environment, planning, parks, cemeteries and waste",3
"Complaints about the noise from local nightclubs have been persistent, with residents requesting stricter noise controls.",Community safety,4
"There have been ongoing issues with flooding in several neighborhoods, which residents say have not been adequately addressed.","Environment, planning, parks, cemeteries and waste",4
"Concerns about the safety of pedestrian crossings near schools have been raised, with parents calling for better signage and lighting.","Highways, traffic and parking",4
"Residents have expressed dissatisfaction with the local library's limited hours, which they say restrict access to services.","Sports, leisure and libraries",2
"Complaints about the maintenance of public sports facilities have been frequent, with facilities often left in poor condition.","Sports, leisure and libraries",3
"There have been repeated issues with dog waste not being cleaned up in public areas, leading to unsanitary conditions.","Environment, planning, parks, cemeteries and waste",3
"Residents have voiced concerns about the lack of public seating areas in downtown districts, which limits the usability of these spaces.","Environment, planning, parks, cemeteries and waste",2
"Complaints about the timing of traffic lights in the city have been common, with many drivers finding the lights too slow or too fast.","Highways, traffic and parking",2
"There have been issues with the maintenance of historical monuments in the city, with many structures showing signs of neglect.","Environment, planning, parks, cemeteries and waste",3
"Concerns about the overuse of pesticides in public parks have been raised, with residents worried about environmental and health impacts.","Environment, planning, parks, cemeteries and waste",3
"Residents have complained about the lack of bike lanes in the city, which they say discourages cycling and increases traffic congestion.","Highways, traffic and parking",3
"Complaints about the lack of enforcement of parking regulations near schools have been ongoing, leading to dangerous conditions for students.","Highways, traffic and parking",4
"There have been numerous complaints about the noise from construction sites, particularly those near residential areas.","Environment, planning, parks, cemeteries and waste",4
"Residents have expressed concerns about the lack of green spaces in urban areas, with many areas having no access to parks.","Environment, planning, parks, cemeteries and waste",3
"Complaints about the conditions of local walking trails have been frequent, with many trails poorly maintained and unsafe.","Environment, planning, parks, cemeteries and waste",3
"Concerns about the availability of public toilets in the city have been raised, with many facilities closed or in poor condition.","Environment, planning, parks, cemeteries and waste",3
"There have been repeated complaints about the poor condition of roads in the city, with many streets full of potholes and cracks.","Highways, traffic and parking",4
"Residents have voiced concerns about the effectiveness of the city's stormwater management system, particularly in older neighborhoods.","Environment, planning, parks, cemeteries and waste",4
"Complaints about the maintenance of public gardens have been common, with many areas overgrown and neglected.","Environment, planning, parks, cemeteries and waste",3
"There have been concerns about the lack of public lighting in several neighborhoods, which residents say makes these areas unsafe at night.","Environment, planning, parks, cemeteries and waste",4
"Residents have reported problems with the city's waste disposal services, with garbage often not collected on schedule.","Environment, planning, parks, cemeteries and waste",3
"Complaints about the noise from local festivals have been persistent, with residents near the venues experiencing disruption.",Community safety,3
"There have been repeated issues with graffiti on public buildings, with local authorities slow to clean up the vandalism.",Community safety,3
"Residents have expressed frustration with the city's handling of traffic congestion, particularly in the downtown area.","Highways, traffic and parking",3
"Complaints about the lack of child-friendly facilities in public parks have been frequent, with parents calling for better playgrounds.",Children's services,3
"Concerns about the maintenance of local cemeteries have been raised, with many areas left untended and in poor condition.","Environment, planning, parks, cemeteries and waste",3
"Residents have voiced concerns about the lack of maintenance of public fountains, which are often dirty and not working.","Environment, planning, parks, cemeteries and waste",3
"Complaints about the conditions at local swimming pools have been ongoing, with many pools in need of cleaning and repair.","Sports, leisure and libraries",3
"Concerns about the overgrowth of vegetation along city streets have been raised, with the foliage obscuring traffic signs and lights.","Environment, planning, parks, cemeteries and waste",3
"There have been repeated complaints about the lack of enforcement of leash laws in public parks, leading to conflicts between pet owners.",Community safety,3
